AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LATITUDE,LONGITUDE,AIRPORT_IS_LATEST
1312902,13129,LWV,Lawrenceville-Vincennes International,"Lawrenceville, IL",41,United States,US,Illinois,IL,17,33129,"Lawrenceville, IL",41,38,N,38.76416667,-87.60555556,1
1313001,13130,LWY,Lawas Airport,"Lawas, Malaysia",749,Malaysia,MY,,,,33130,"Lawas, Malaysia",749,4,N,4.85000000,115.40500000,0
1313002,13130,LWY,Lawas Airport,"Lawas, Malaysia",749,Malaysia,MY,,,,33130,"Lawas, Malaysia",749,4,N,4.84916667,115.40277778,0
1313003,13130,LWY,Lawas Airport,"Lawas, Malaysia",749,Malaysia,MY,,,,33130,"Lawas, Malaysia",749,4,N,4.84972222,115.40805556,1
1313101,13131,LXA,Gonggar,"Lhasa, China",713,China,CN,,,,33131,"Lhasa, China",713,29,N,29.29722222,90.91333333,0
1313102,13131,LXA,Gonggar,"Lhasa, China",713,China,CN,,,,33131,"Lhasa, China",713,29,N,29.29805556,90.91222222,0
1313103,13131,LXA,Konggar,"Lhasa, China",713,China,CN,,,,33131,"Lhasa, China",713,29,N,29.29972222,90.91055556,1
1313201,13132,LXN,Jim Kelly Field,"Lexington, NE",65,United States,US,Nebraska,NE,31,33132,"Lexington, NE",65,40,N,40.79055556,-99.77583333,1
1313301,13133,LXR,Luxor International,"Luxor, Egypt",591,Egypt,EG,,,,33133,"Luxor, Egypt",591,25,N,25.67305556,32.70750000,0
1313302,13133,LXR,Luxor International,"Luxor, Egypt",591,Egypt,EG,,,,33133,"Luxor, Egypt",591,25,N,25.67111111,32.70666667,0
